czas,masa
0.69,25.98
0.79,30.03
0.89,34.12
0.99,37.71
1.09,41.29
1.19,45.76
1.29,48.77
1.39,56.44
1.49,60.32
1.59,63.71
1.69,67.48
1.79,70.68
1.89,74.13
1.99,77.27
2.09,80.12
2.19,82.99
2.29,86.61
2.39,89.0
2.49,91.8
2.59,98.12
2.69,99.67
2.79,101.95
2.89,103.79
2.99,105.89
3.09,107.89
3.19,109.63
3.29,111.2
3.39,116.97
3.49,118.1
3.59,119.79
3.69,121.45
3.79,122.46
3.89,127.83
3.99,128.9
4.09,129.72
4.19,131.29
4.29,132.05
4.39,137.04
4.49,138.3
4.59,138.92
4.69,140.17
4.79,141.52
4.89,142.34
4.99,143.64
5.09,144.05
5.19,148.69
5.29,149.59
5.39,150.08
5.49,150.41
5.59,151.17
5.69,151.59
5.79,152.59
5.89,153.36
5.99,153.63
6.09,154.44
6.19,154.44
6.29,155.17
6.39,155.86
6.49,159.54
6.59,160.09
6.69,164.41
6.79,164.37
6.89,164.46
6.99,165.21
7.09,165.54
7.19,166.19
7.29,165.84
7.39,166.5
7.49,167.18
7.59,167.55
7.69,168.24
7.79,172.64
7.89,172.81
7.99,173.39
8.09,173.88
8.19,174.13
8.29,174.39
8.39,174.55
8.49,175.08
8.59,175.5
8.69,175.45
8.79,179.66
8.89,180.19
8.99,180.05
9.09,184.1
9.19,184.15
9.29,183.73
9.39,183.56
9.49,183.13
9.59,183.35
9.69,182.67
9.79,182.34
9.89,182.75
9.99,186.99
10.09,187.03
10.19,187.35
10.29,187.62
10.39,191.36
10.49,191.7
10.59,191.49
10.69,191.7
10.79,191.76
10.89,191.53
10.99,191.76
11.09,191.22
11.19,190.89
11.29,191.17
11.39,191.19
11.49,191.15
11.59,191.43
11.69,194.73
11.79,195.03
11.89,195.23
11.99,194.94
12.09,195.09
12.19,195.35
12.29,195.01
12.39,194.69
12.49,194.9
12.59,194.45
12.69,194.78
12.79,194.52
12.89,195.08
12.99,199.03
13.09,198.97
13.19,202.92
13.29,206.84
13.39,206.74
13.49,206.52
13.59,207.01
13.69,206.57
13.79,206.64
13.89,205.89
13.99,205.85
14.09,206.08
14.19,205.71
14.29,209.74
14.39,210.0
14.49,209.59
14.59,209.1
14.69,209.97
14.79,209.84
14.89,210.24
14.99,209.94
15.09,209.95
15.19,209.52
15.29,209.12
15.39,209.1
15.49,209.27
15.59,212.88
15.69,212.29
15.79,212.66
15.89,212.27
15.99,212.42
16.09,212.25
16.19,212.3
16.29,212.53
16.39,212.04
16.49,211.79
16.59,215.39
16.69,215.07
16.79,214.75
16.89,218.72
16.99,218.21
17.09,217.92
17.19,216.92
17.29,216.48
17.39,216.11
17.49,215.52
17.59,218.93
17.69,218.77
17.79,218.3
17.89,217.98
17.99,217.81
18.09,217.33
18.19,220.86
18.29,220.26
18.39,219.38
18.49,219.09
18.59,218.28
18.69,218.01
18.79,218.07
18.89,217.0
18.99,216.24
19.09,216.19
19.19,215.61
19.29,215.24
19.39,214.19
19.49,217.17
19.59,217.08
19.69,216.5
19.79,216.33
19.89,219.86
